algorithm,rank,node_id,degree,score
hits_hub,1,548091,549.0,0.018705604961001068
hits_hub,2,436020,197.0,0.01363450525567728
hits_hub,3,424153,127.0,0.008831421269749203
hits_hub,4,7308,98.0,0.00835936026203838
hits_hub,5,410716,108.0,0.008182173920168278
hits_hub,6,27832,111.0,0.007441358173970084
hits_hub,7,503706,82.0,0.006830985765975686
hits_hub,8,463355,86.0,0.006749279280114001
hits_hub,9,398826,64.0,0.005688403963900499
hits_hub,10,181204,58.0,0.003372918997997856
hits_hub,11,46169,27.0,0.0026903806048602197
hits_hub,12,315359,21.0,0.0024932223953284404
hits_hub,13,478796,8.0,0.0018811655518624377
hits_hub,14,249686,5.0,0.0018735665975212763
hits_hub,15,77706,5.0,0.0018735665975212763
hits_hub,16,277324,5.0,0.0018735665975212763
hits_hub,17,301520,5.0,0.0018735665975212763
hits_hub,18,412960,5.0,0.0018735665975212763
hits_hub,19,341274,5.0,0.0018735665975212763
hits_hub,20,323552,5.0,0.0018735665975212763
hits_hub,21,330015,5.0,0.0018735665975212763
hits_hub,22,451124,5.0,0.0018735665975212763
hits_hub,23,217050,5.0,0.0018735665975212763
hits_hub,24,447879,5.0,0.0018735665975212763
hits_hub,25,393133,5.0,0.0018735665975212763
hits_hub,26,250671,5.0,0.0018735665975212763
hits_hub,27,211180,5.0,0.0018735665975212763
hits_hub,28,122660,5.0,0.0018735665975212763
hits_hub,29,35169,5.0,0.0018735665975212763
hits_hub,30,113414,5.0,0.0018735665975212763
hits_hub,31,56293,5.0,0.0018735665975212763
hits_hub,32,492689,5.0,0.0018735665975212763
hits_hub,33,442797,5.0,0.0018735665975212763
hits_hub,34,516640,5.0,0.0018520912608177692
hits_hub,35,474982,5.0,0.0018520912608177692
hits_hub,36,78045,5.0,0.0018520912608177692
hits_hub,37,116381,5.0,0.0018520912608177692
hits_hub,38,149104,5.0,0.0018520912608177692
hits_hub,39,383425,5.0,0.0018520912608177692
hits_hub,40,229273,5.0,0.0018504697538061492
hits_hub,41,299552,5.0,0.0018504697538061492
hits_hub,42,242967,5.0,0.0018504697538061492
hits_hub,43,404334,5.0,0.0018504697538061492
hits_hub,44,448758,5.0,0.0018504697538061492
hits_hub,45,491502,5.0,0.0018504697538061492
hits_hub,46,190081,5.0,0.0018504697538061492
hits_hub,47,273230,24.0,0.0018164180472501853
hits_hub,48,460456,5.0,0.0018078436318330938
hits_hub,49,434453,5.0,0.0018078436318330938
hits_hub,50,186664,5.0,0.0018078436318330938
hits_authority,1,548091,549.0,0.018832926269747165
hits_authority,2,436020,197.0,0.013636351701941545
hits_authority,3,424153,127.0,0.008832618541961663
hits_authority,4,7308,98.0,0.00836049184249384
hits_authority,5,410716,108.0,0.008183281376603495
hits_authority,6,27832,111.0,0.007442365235309008
hits_authority,7,503706,82.0,0.006831910423579287
hits_authority,8,463355,86.0,0.006750194531805146
hits_authority,9,398826,64.0,0.005689174169220471
hits_authority,10,181204,58.0,0.0033733753793684772
hits_authority,11,46169,27.0,0.0026907446696545806
hits_authority,12,315359,21.0,0.002493560049053238
hits_authority,13,478796,8.0,0.0018814201113947027
hits_authority,14,77706,5.0,0.0018738202009799954
hits_authority,15,330015,5.0,0.0018738202009799954
hits_authority,16,323552,5.0,0.0018738202009799954
hits_authority,17,451124,5.0,0.0018738202009799954
hits_authority,18,492689,5.0,0.0018738202009799954
hits_authority,19,341274,5.0,0.0018738202009799954
hits_authority,20,393133,5.0,0.0018738202009799954
hits_authority,21,412960,5.0,0.0018738202009799954
hits_authority,22,442797,5.0,0.0018738202009799954
hits_authority,23,447879,5.0,0.0018738202009799954
hits_authority,24,113414,5.0,0.0018738202009799954
hits_authority,25,35169,5.0,0.0018738202009799954
hits_authority,26,250671,5.0,0.0018738202009799954
hits_authority,27,277324,5.0,0.0018738202009799954
hits_authority,28,217050,5.0,0.0018738202009799954
hits_authority,29,211180,5.0,0.0018738202009799954
hits_authority,30,249686,5.0,0.0018738202009799954
hits_authority,31,122660,5.0,0.0018738202009799954
hits_authority,32,56293,5.0,0.0018738202009799954
hits_authority,33,301520,5.0,0.0018738202009799954
hits_authority,34,383425,5.0,0.0018523419739261966
hits_authority,35,474982,5.0,0.0018523419739261966
hits_authority,36,78045,5.0,0.0018523419739261966
hits_authority,37,516640,5.0,0.0018523419739261966
hits_authority,38,149104,5.0,0.0018523419739261966
hits_authority,39,116381,5.0,0.0018523419739261966
hits_authority,40,448758,5.0,0.0018507201645307665
hits_authority,41,299552,5.0,0.0018507201645307665
hits_authority,42,404334,5.0,0.0018507201645307665
hits_authority,43,229273,5.0,0.0018507201645307665
hits_authority,44,242967,5.0,0.0018507201645307665
hits_authority,45,491502,5.0,0.0018507201645307665
hits_authority,46,190081,5.0,0.0018507201645307665
hits_authority,47,273230,24.0,0.0018166653867808355
hits_authority,48,186664,5.0,0.0018080883784908819
hits_authority,49,81826,5.0,0.0018080883784908819
hits_authority,50,122157,5.0,0.0018080883784908819
pagerank,1,548091,549.0,0.0003715074472785756
pagerank,2,458358,324.0,0.00014583826391880613
pagerank,3,222074,257.0,0.00013794536900852577
pagerank,4,45146,179.0,0.00011485736215182131
pagerank,5,291117,219.0,0.0001089378827080497
pagerank,6,515301,228.0,9.510209969799644e-05
pagerank,7,462504,151.0,9.122263230016091e-05
pagerank,8,296016,212.0,9.075510080571554e-05
pagerank,9,454004,196.0,8.774436484212837e-05
pagerank,10,199628,230.0,8.679443555254905e-05
pagerank,11,265965,118.0,8.312565550340117e-05
pagerank,12,239327,196.0,8.023611075880498e-05
pagerank,13,502784,217.0,8.014200013178204e-05
pagerank,14,239107,205.0,7.936077559018768e-05
pagerank,15,55387,158.0,7.555986071146687e-05
pagerank,16,194384,160.0,7.097198369405875e-05
pagerank,17,425568,136.0,7.09595887058534e-05
pagerank,18,154855,136.0,7.084389121635282e-05
pagerank,19,270494,145.0,6.785445680503667e-05
pagerank,20,38365,151.0,6.76885795248334e-05
pagerank,21,436020,197.0,6.471644561571728e-05
pagerank,22,186356,142.0,6.44857318556091e-05
pagerank,23,249116,128.0,6.198050805445113e-05
pagerank,24,399944,180.0,6.125747321374007e-05
pagerank,25,430936,177.0,6.075131305385894e-05
pagerank,26,98756,165.0,6.056896893980225e-05
pagerank,27,231267,119.0,6.0388717408730036e-05
pagerank,28,425735,94.0,5.910774718200554e-05
pagerank,29,501444,163.0,5.8873610186783124e-05
pagerank,30,151389,152.0,5.821948855053874e-05
pagerank,31,21209,171.0,5.746972545112383e-05
pagerank,32,320405,96.0,5.684367772387297e-05
pagerank,33,232799,104.0,5.672113405431606e-05
pagerank,34,312527,91.0,5.6702056085597247e-05
pagerank,35,69333,111.0,5.6507510604625e-05
pagerank,36,208249,116.0,5.583407449732078e-05
pagerank,37,482263,136.0,5.4911835054143804e-05
pagerank,38,188765,139.0,5.460572284878514e-05
pagerank,39,297491,128.0,5.456596892320454e-05
pagerank,40,317053,149.0,5.449665165327203e-05
pagerank,41,321808,123.0,5.432208437349775e-05
pagerank,42,145651,119.0,5.421495594455123e-05
pagerank,43,89000,97.0,5.402261494695048e-05
pagerank,44,190983,114.0,5.394964773731958e-05
pagerank,45,537519,139.0,5.3426764145366706e-05
pagerank,46,42948,144.0,5.315634357269368e-05
pagerank,47,110214,142.0,5.2796036688770546e-05
pagerank,48,259626,101.0,5.274432279418185e-05
pagerank,49,245137,108.0,5.2644607429626935e-05
pagerank,50,520843,105.0,5.2305468342446505e-05
personalized_pagerank,1,548091,549.0,0.0005921291696704593
personalized_pagerank,2,222074,257.0,0.00016996377762895298
personalized_pagerank,3,45146,179.0,0.00016758597931556266
personalized_pagerank,4,458358,324.0,0.00015057685565214216
personalized_pagerank,5,265965,118.0,0.00013176494437409843
personalized_pagerank,6,462504,151.0,0.00012434562912854236
personalized_pagerank,7,291117,219.0,0.00012325127294677112
personalized_pagerank,8,515301,228.0,9.759241357446711e-05
personalized_pagerank,9,296016,212.0,9.590876289523652e-05
personalized_pagerank,10,154855,136.0,9.021547443170893e-05
personalized_pagerank,11,454004,196.0,8.968124040727571e-05
personalized_pagerank,12,425735,94.0,8.558178874994813e-05
personalized_pagerank,13,425568,136.0,8.508031762893179e-05
personalized_pagerank,14,55387,158.0,8.400958089291086e-05
personalized_pagerank,15,199628,230.0,8.131751582745342e-05
personalized_pagerank,16,312527,91.0,8.123698218411375e-05
personalized_pagerank,17,239327,196.0,7.686147999738711e-05
personalized_pagerank,18,239107,205.0,7.528228979330806e-05
personalized_pagerank,19,270494,145.0,7.525678301315423e-05
personalized_pagerank,20,502784,217.0,7.481902298992834e-05
personalized_pagerank,21,320405,96.0,7.410698135639607e-05
personalized_pagerank,22,194384,160.0,7.333504946300273e-05
personalized_pagerank,23,186356,142.0,7.28569001500956e-05
personalized_pagerank,24,231267,119.0,7.184124576860366e-05
personalized_pagerank,25,89000,97.0,7.149386047284436e-05
personalized_pagerank,26,249116,128.0,6.872020872884784e-05
personalized_pagerank,27,38365,151.0,6.816488873955665e-05
personalized_pagerank,28,69333,111.0,6.761537015183482e-05
personalized_pagerank,29,109200,82.0,6.736076309085952e-05
personalized_pagerank,30,232799,104.0,6.734021766462e-05
personalized_pagerank,31,291064,79.0,6.58432811020045e-05
personalized_pagerank,32,536229,53.0,6.578720092542678e-05
personalized_pagerank,33,208249,116.0,6.382589946728e-05
personalized_pagerank,34,502906,51.0,6.358955352155326e-05
personalized_pagerank,35,240276,90.0,6.290556046269064e-05
personalized_pagerank,36,259626,101.0,6.063643854630741e-05
personalized_pagerank,37,234781,105.0,6.0503200155155017e-05
personalized_pagerank,38,520843,105.0,6.04604367495848e-05
personalized_pagerank,39,190983,114.0,6.0324479679567714e-05
personalized_pagerank,40,19615,54.0,6.006201024923653e-05
personalized_pagerank,41,245137,108.0,5.8389766357766214e-05
personalized_pagerank,42,74484,60.0,5.832070538335162e-05
personalized_pagerank,43,369615,98.0,5.826280605546033e-05
personalized_pagerank,44,429788,96.0,5.820782304151974e-05
personalized_pagerank,45,69693,105.0,5.812149252186203e-05
personalized_pagerank,46,3250,100.0,5.8119239222825106e-05
personalized_pagerank,47,465965,86.0,5.775841868125143e-05
personalized_pagerank,48,476677,102.0,5.752355433220644e-05
personalized_pagerank,49,98756,165.0,5.7202254003107764e-05
personalized_pagerank,50,321808,123.0,5.65502761942293e-05
degree_normalized_pagerank,1,548091,549.0,0.00014328689859404706
degree_normalized_pagerank,2,265965,118.0,3.3657896151262186e-05
degree_normalized_pagerank,3,502906,51.0,2.5972650774041837e-05
degree_normalized_pagerank,4,45146,179.0,2.426359277379607e-05
degree_normalized_pagerank,5,522786,16.0,2.1344885742329177e-05
degree_normalized_pagerank,6,145768,20.0,2.1195557975560558e-05
degree_normalized_pagerank,7,315359,21.0,2.0905617583718253e-05
degree_normalized_pagerank,8,454808,21.0,1.6889952378212284e-05
degree_normalized_pagerank,9,212980,19.0,1.678634248633863e-05
degree_normalized_pagerank,10,425221,26.0,1.674198173429112e-05
degree_normalized_pagerank,11,312527,91.0,1.617926109520457e-05
degree_normalized_pagerank,12,218145,11.0,1.5862465127698017e-05
degree_normalized_pagerank,13,89000,97.0,1.5792240991715028e-05
degree_normalized_pagerank,14,544900,25.0,1.576836682738142e-05
degree_normalized_pagerank,15,425735,94.0,1.5178377119222493e-05
degree_normalized_pagerank,16,520195,21.0,1.5028101851608715e-05
degree_normalized_pagerank,17,23717,15.0,1.4824333215070237e-05
degree_normalized_pagerank,18,368759,15.0,1.4594562378162794e-05
degree_normalized_pagerank,19,534682,29.0,1.4592860566697533e-05
degree_normalized_pagerank,20,248500,25.0,1.4539175688227192e-05
degree_normalized_pagerank,21,114623,28.0,1.4392160269055526e-05
degree_normalized_pagerank,22,181204,58.0,1.4103314720812747e-05
degree_normalized_pagerank,23,76778,12.0,1.4009010678860749e-05
degree_normalized_pagerank,24,398826,64.0,1.3951073771484072e-05
degree_normalized_pagerank,25,22986,25.0,1.389636219764007e-05
degree_normalized_pagerank,26,206604,32.0,1.3893368941001989e-05
degree_normalized_pagerank,27,154855,136.0,1.3892821735463085e-05
degree_normalized_pagerank,28,216150,14.0,1.3792900546352185e-05
degree_normalized_pagerank,29,141124,17.0,1.3791727787231905e-05
degree_normalized_pagerank,30,347868,19.0,1.3760076786826328e-05
